,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
299,2,289.0,97.0,0,1,2.5,4.58,1,1,51
301,2,345.0,75.0,1,2,1.0,4.74,1,0,51
303,2,1114.0,99.0,0,6,1.0,4.82,0,0,42
306,2,4714.0,100.0,0,2,1.0,4.79,1,1,42
307,2,664.0,100.0,0,2,1.0,4.54,1,1,51
309,2,1112.0,0.0,0,1,1.0,4.8,1,1,29
321,2,750.0,67.0,0,2,1.0,4.0,1,0,42
322,2,700.0,0.0,0,1,1.0,4.89,1,0,51
323,2,750.0,67.0,0,1,1.0,4.44,1,0,42
325,2,498.0,100.0,0,1,1.0,4.84,1,1,51
326,2,250.0,86.0,1,1,1.0,4.8,1,0,51
330,2,1114.0,99.0,0,2,2.0,4.8,0,0,42
331,2,1114.0,99.0,0,1,2.0,4.8,0,0,42
332,2,316.0,99.0,0,1,1.0,5.0,1,0,34
334,2,1200.0,67.0,0,2,1.0,4.97,1,0,40
338,2,1517.0,98.0,1,2,1.0,4.99,1,1,42
341,2,1150.0,75.0,0,4,2.5,4.93,1,0,51
344,2,299.0,97.0,0,1,4.0,4.3,1,1,51
353,2,789.0,98.0,1,3,1.0,4.83,1,0,40
358,2,339.0,39.0,0,1,1.5,4.73,1,0,42
360,2,594.0,99.0,0,2,1.5,4.97,1,1,42
364,2,350.0,100.0,0,2,1.0,4.65,1,0,42
367,2,1357.0,99.0,1,2,1.0,4.94,1,0,47
368,2,393.0,0.0,0,2,1.0,4.52,1,0,34
369,2,586.0,98.0,1,1,1.5,4.87,1,0,40
374,2,550.0,96.0,1,1,1.0,4.93,1,0,51
376,2,1200.0,25.0,0,2,1.0,4.88,1,0,51
381,2,980.0,0.0,0,2,2.5,4.9,1,0,51
383,2,500.0,88.0,1,2,0.0,4.75,1,0,51
392,2,627.0,0.0,0,1,1.0,4.85,1,0,51
395,2,490.0,94.0,1,1,1.5,4.92,1,0,42
396,2,630.0,94.0,1,2,1.5,4.96,1,0,42
399,2,850.0,19.0,0,3,2.0,4.8,1,0,51
400,2,1114.0,99.0,0,1,2.0,5.0,1,0,51
401,2,1114.0,99.0,0,2,2.0,4.5,0,0,51
403,2,410.0,100.0,1,2,1.5,4.72,1,0,42
405,2,5344.0,99.0,0,1,1.0,4.96,1,0,51
406,2,393.0,100.0,1,2,1.5,4.67,1,1,42
409,2,236.0,79.0,1,1,1.0,4.85,1,0,42
410,2,230.0,79.0,1,1,1.0,4.88,1,0,42
411,2,7072.0,100.0,0,2,1.0,4.87,1,1,42
412,2,880.0,25.0,0,2,1.0,4.97,1,0,51
413,2,990.0,25.0,0,2,1.0,4.91,1,0,34
414,2,1114.0,99.0,0,1,1.0,4.8,0,0,51
415,2,1114.0,99.0,0,2,1.0,4.61,1,0,51
416,2,1114.0,99.0,0,2,1.0,5.0,0,0,42
421,2,471.0,29.0,0,1,1.0,4.88,1,0,51
422,2,12638.0,33.0,0,16,10.0,4.8,1,0,29
425,2,900.0,91.0,1,4,1.5,4.95,1,0,42
428,2,809.0,99.0,0,2,2.5,5.0,1,0,51
429,2,900.0,99.0,0,2,1.0,4.8,1,0,51
432,2,1882.0,75.0,0,2,1.5,5.0,1,0,42
433,2,390.0,80.0,0,1,1.5,4.89,1,0,51
434,2,1800.0,100.0,0,2,1.0,4.82,1,1,63
439,2,2279.0,100.0,0,2,1.0,4.47,1,1,63
442,2,1114.0,33.0,0,16,1.0,5.0,1,0,29
446,2,465.0,83.0,0,16,1.0,4.5,1,0,41
448,2,399.0,97.0,0,1,1.0,4.0,1,1,51
452,2,226.0,100.0,0,1,1.5,4.61,1,0,51
453,2,583.0,95.0,1,2,1.0,4.97,1,0,51
454,2,768.0,57.0,0,1,2.0,4.93,1,0,34
455,2,230.0,79.0,1,1,1.5,4.77,1,0,42
458,2,550.0,87.0,0,1,1.0,4.87,1,1,51
460,2,1759.0,0.0,0,4,2.0,4.8,1,0,51
461,2,500.0,50.0,0,1,1.0,4.95,1,0,42
464,2,930.0,100.0,0,1,1.0,4.86,1,1,51
465,2,700.0,100.0,0,1,1.0,4.95,1,0,51
468,2,750.0,100.0,1,2,1.0,4.8,1,0,42
471,2,200.0,0.0,0,2,1.0,4.8,1,0,51
472,2,500.0,25.0,0,1,1.0,5.0,1,0,51
473,2,1114.0,99.0,0,2,1.0,5.0,1,0,38
475,2,1000.0,99.0,0,1,1.0,4.8,1,0,34
483,2,500.0,100.0,1,1,2.0,4.99,1,0,51
484,2,780.0,100.0,0,2,1.0,4.57,1,0,51
485,2,2271.0,100.0,0,2,1.0,4.95,1,1,63
487,2,500.0,25.0,0,1,1.0,3.83,1,0,51
489,2,428.0,100.0,0,4,1.0,4.21,1,1,51
490,2,708.0,67.0,0,2,1.0,4.47,1,0,42
491,2,9999.0,99.0,0,1,1.0,4.8,1,0,51
498,2,1114.0,99.0,0,2,2.5,4.86,0,0,51
504,2,500.0,99.0,0,1,1.0,5.0,1,0,51
508,2,2300.0,91.0,1,2,1.5,4.91,1,0,63
509,2,1114.0,99.0,0,1,1.5,4.8,0,0,51
510,2,667.0,99.0,0,1,1.0,4.8,1,0,51
512,2,708.0,100.0,1,2,1.0,4.96,1,0,51
