,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
348,2,87.0,55.0,1,2,1.0,4.79,1,0,50
360,2,150.0,100.0,1,1,1.0,4.63,1,0,50
364,2,150.0,97.0,0,1,1.5,4.8,0,0,50
366,2,61.0,100.0,1,2,1.0,4.89,1,0,62
373,2,99.0,77.0,0,2,1.0,4.12,1,0,50
380,2,46.0,80.0,0,2,11.0,4.38,1,0,72
384,2,73.0,100.0,0,2,1.0,4.91,0,0,50
390,2,125.0,99.0,1,3,1.0,4.95,1,0,50
391,2,46.0,80.0,0,2,11.0,4.19,1,0,70
392,2,100.0,25.0,0,2,1.0,3.97,0,0,50
393,2,150.0,97.0,0,1,1.0,4.92,1,0,37
394,2,89.0,100.0,0,2,1.0,4.28,1,0,43
397,2,150.0,97.0,0,2,1.0,4.8,0,0,43
400,2,100.0,25.0,0,2,1.0,4.28,0,0,57
403,2,125.0,97.0,0,2,1.0,5.0,1,0,57
410,2,50.0,100.0,1,1,1.0,4.64,1,0,50
411,2,75.0,100.0,1,1,1.5,4.54,1,1,50
419,2,150.0,97.0,1,1,1.0,4.86,1,0,62
422,2,150.0,97.0,0,1,2.0,4.8,1,0,57
424,2,43.0,80.0,0,2,11.0,4.32,1,0,70
425,2,46.0,80.0,0,2,11.0,4.28,1,0,72
427,2,107.0,50.0,0,2,2.0,5.0,1,0,57
430,2,70.0,100.0,1,2,1.0,4.86,1,0,50
432,2,170.0,97.0,0,2,1.0,5.0,1,0,57
440,2,70.0,97.0,0,1,1.0,4.94,1,0,37
442,2,75.0,100.0,0,2,1.0,4.77,0,1,57
445,2,150.0,97.0,0,2,1.0,3.93,1,0,57
447,2,86.0,96.0,1,2,1.0,4.98,1,0,50
451,2,46.0,80.0,0,2,11.0,4.14,1,0,70
452,2,46.0,80.0,0,2,11.0,4.39,1,0,70
460,2,150.0,97.0,0,4,1.0,4.5,1,0,57
461,2,125.0,93.0,1,2,1.5,4.93,1,0,50
463,2,126.0,99.0,1,2,1.0,4.84,1,0,43
471,2,150.0,97.0,0,2,3.5,4.8,1,0,57
472,2,81.0,100.0,1,2,1.0,4.98,1,1,50
473,2,80.0,93.0,1,2,1.0,4.84,1,0,50
478,2,197.0,91.0,1,2,1.0,4.94,1,0,50
479,2,100.0,97.0,0,8,1.0,3.65,1,0,53
480,2,179.0,100.0,0,2,1.0,4.8,1,0,57
484,2,101.0,94.0,1,2,1.0,4.94,0,0,50
490,2,82.0,98.0,1,2,1.0,4.89,1,0,50
493,2,46.0,80.0,0,2,11.0,4.39,1,0,51
499,2,46.0,80.0,0,2,11.0,4.55,1,0,70
503,2,150.0,97.0,0,1,1.0,4.8,1,0,57
508,2,46.0,80.0,0,2,11.0,3.98,1,0,70
509,2,38.0,57.0,0,1,1.0,4.92,1,0,57
511,2,89.0,97.0,1,2,1.0,4.92,1,0,50
512,2,150.0,95.0,1,1,1.0,4.67,0,0,50
513,2,329.0,29.0,0,4,1.0,5.0,1,0,65
517,2,99.0,100.0,1,2,1.0,4.79,1,0,43
518,2,45.0,89.0,1,1,1.0,4.54,1,0,57
519,2,89.0,0.0,0,2,1.0,4.31,1,0,57
520,2,83.0,79.0,1,1,1.5,4.84,1,0,50
523,2,41.0,55.0,1,1,1.0,4.65,1,0,50
524,2,89.0,97.0,0,1,1.5,4.95,1,0,62
526,2,71.0,88.0,1,1,1.0,4.65,1,0,57
527,2,49.0,45.0,0,2,2.5,3.4,1,0,43
529,2,65.0,50.0,0,2,2.0,3.67,1,0,57
533,2,150.0,100.0,0,1,2.0,4.75,1,0,57
535,2,101.0,100.0,1,2,1.0,4.92,1,0,50
541,2,150.0,97.0,0,2,1.0,4.8,0,0,50
543,2,46.0,80.0,0,2,11.0,4.09,1,0,72
544,2,46.0,80.0,0,2,11.0,4.11,1,0,70
545,2,68.0,79.0,1,1,1.5,4.93,1,0,50
553,2,67.0,95.0,1,1,1.0,4.79,0,0,50
555,2,100.0,97.0,0,2,1.0,4.97,1,0,43
556,2,150.0,97.0,0,2,1.0,4.75,1,0,57
558,2,150.0,97.0,0,2,2.0,4.8,0,0,57
562,2,150.0,97.0,0,2,1.0,4.8,0,0,50
569,2,80.0,97.0,0,1,1.0,5.0,1,0,57
578,2,45.0,72.0,0,2,1.0,3.72,1,0,50
584,2,64.0,97.0,0,2,1.0,4.13,1,0,43
589,2,53.0,99.0,1,2,1.0,4.96,1,0,57
590,2,50.0,72.0,0,2,1.5,4.15,1,0,50
591,2,5000.0,97.0,0,2,1.5,4.85,1,0,57
592,2,150.0,97.0,0,1,1.5,4.8,0,0,57
593,2,46.0,80.0,0,2,11.0,4.3,1,0,72
594,2,197.0,91.0,1,2,1.0,4.97,1,0,50
595,2,60.0,83.0,1,2,3.5,4.82,1,0,57
596,2,60.0,83.0,1,2,3.5,4.76,1,0,57
598,2,124.0,97.0,1,2,1.0,4.95,1,0,37
600,2,60.0,83.0,1,2,3.5,4.76,1,0,57
601,2,60.0,83.0,1,2,3.5,4.82,1,0,57
602,2,60.0,83.0,1,2,3.5,4.79,1,0,57
603,2,149.0,96.0,1,2,1.5,4.9,1,1,62
605,2,112.0,25.0,0,2,1.0,4.38,0,0,50
607,2,150.0,97.0,0,2,1.0,4.71,1,0,50
609,2,150.0,97.0,0,2,1.0,4.8,0,0,57
611,2,61.0,97.0,0,2,1.0,4.73,1,0,50
618,2,89.0,100.0,1,1,1.0,4.74,1,0,57
619,2,65.0,100.0,0,1,0.5,4.8,1,0,50
621,2,150.0,97.0,0,2,1.0,4.86,1,0,57
627,2,98.0,100.0,1,1,0.0,4.91,1,0,57
630,2,40.0,72.0,0,1,1.0,4.3,1,0,50
631,2,150.0,97.0,0,5,1.0,4.88,1,0,53
638,2,126.0,100.0,1,2,1.0,4.82,0,0,50
643,2,76.0,100.0,0,1,1.0,4.79,1,0,57
644,2,66.0,79.0,0,1,1.0,4.74,1,0,37
645,2,65.0,100.0,0,2,1.0,4.8,1,0,35
646,2,50.0,72.0,0,4,1.5,4.46,1,0,65
648,2,75.0,99.0,0,1,1.0,4.95,1,0,50
