,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
25646,3,1200.0,25.0,0,2,1.0,4.8,1,0,76
25735,3,194.0,100.0,0,1,1.0,4.8,1,0,75
25755,3,142.0,98.0,0,3,2.5,4.8,1,1,73
25756,3,142.0,98.0,0,3,2.5,4.8,1,1,68
25769,3,142.0,98.0,0,3,2.5,4.8,1,1,68
25770,3,205.0,98.0,0,3,2.5,4.0,1,1,73
25771,3,207.0,98.0,0,3,2.5,4.8,1,1,68
25871,3,280.0,100.0,0,1,1.0,5.0,1,0,76
25921,3,345.0,92.0,0,1,1.0,4.8,1,0,72
25922,3,345.0,92.0,0,1,1.0,4.8,1,0,72
26057,3,23999.0,38.0,0,2,1.0,4.8,1,0,68
26257,3,201.0,64.0,0,1,2.0,4.8,1,0,73
26259,3,201.0,64.0,0,1,2.0,4.8,1,1,73
26278,3,227.0,92.0,0,6,2.0,4.8,1,1,76
