,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
4436,3,150.0,97.0,0,2,1.0,4.8,1,0,89
4467,3,46.0,97.0,0,2,1.5,4.64,1,1,85
4504,3,45.0,97.0,0,1,2.0,4.33,0,0,85
4513,3,150.0,97.0,0,1,2.0,4.8,0,0,89
4536,3,150.0,97.0,0,4,1.0,4.8,0,0,89
4553,3,150.0,97.0,0,1,1.5,4.8,0,0,85
4685,3,110.0,97.0,0,2,1.0,4.0,0,0,83
4729,3,150.0,97.0,0,1,1.0,5.0,1,0,89
4786,3,100.0,97.0,0,4,1.0,4.56,0,0,74
4812,3,150.0,97.0,0,1,1.0,4.95,1,1,89
4851,3,150.0,97.0,0,2,2.5,4.8,1,0,89
4892,3,150.0,97.0,0,1,1.0,4.8,1,0,89
4900,3,50.0,99.0,0,1,1.5,4.39,1,0,86
5016,3,150.0,97.0,0,1,3.5,4.8,0,0,89
5057,3,150.0,97.0,0,1,2.5,4.8,1,0,89
5077,3,150.0,97.0,0,1,1.0,5.0,0,0,85
5078,3,150.0,97.0,0,2,1.0,5.0,0,0,78
5210,3,150.0,97.0,0,2,1.0,4.0,0,0,93
5276,3,35.0,97.0,0,1,2.5,4.27,1,0,75
5449,3,150.0,97.0,0,5,1.0,4.86,1,1,85
5451,3,50.0,99.0,0,1,1.5,4.22,1,0,86
5452,3,150.0,97.0,0,1,1.5,4.8,0,0,85
5526,3,35.0,97.0,0,10,2.5,4.8,0,0,85
5536,3,35.0,97.0,0,6,2.5,4.8,0,0,85
5541,3,150.0,97.0,0,1,2.5,4.8,0,0,85
5628,3,150.0,97.0,0,2,1.0,4.8,1,0,85
5657,3,92.0,97.0,0,4,1.0,4.84,1,0,89
5683,3,150.0,97.0,0,1,6.0,4.89,1,0,89
5712,3,150.0,97.0,0,4,1.0,1.0,1,0,89
5900,3,150.0,97.0,0,2,1.0,4.8,0,0,89
5922,3,150.0,97.0,0,2,1.0,5.0,1,0,80
6066,3,150.0,97.0,0,2,1.5,5.0,1,0,89
6186,3,150.0,100.0,0,2,1.0,4.85,1,1,89
6209,3,150.0,97.0,0,3,1.0,4.8,1,0,89
6239,3,150.0,97.0,0,1,2.0,4.8,1,0,89
6297,3,150.0,97.0,0,1,1.0,4.83,1,0,89
6548,3,150.0,97.0,0,2,4.0,5.0,1,0,89
6614,3,150.0,97.0,0,3,1.0,4.5,1,0,89
6625,3,150.0,97.0,0,1,2.0,5.0,0,0,80
6715,3,150.0,97.0,0,1,1.0,4.8,1,0,89
6864,3,150.0,97.0,0,2,1.0,5.0,1,0,93
6869,3,150.0,97.0,0,1,1.0,4.8,1,0,89
6988,3,150.0,97.0,0,1,1.0,4.88,1,0,93
7091,3,150.0,97.0,0,1,1.0,4.8,0,0,89
7229,3,150.0,97.0,0,1,1.0,4.8,1,0,93
7240,3,150.0,97.0,0,1,1.5,4.8,1,0,89
7271,3,150.0,97.0,0,1,1.0,4.8,1,0,89
7313,3,150.0,97.0,0,2,3.0,4.8,1,0,74
7335,3,150.0,97.0,0,5,1.0,4.8,1,0,89
7393,3,35.0,81.0,1,1,1.0,4.84,0,0,85
7410,3,150.0,97.0,0,1,2.0,4.9,0,0,89
7508,3,150.0,97.0,0,1,1.0,4.8,0,0,89
7535,3,150.0,97.0,0,1,1.0,4.8,1,0,88
7540,3,150.0,97.0,0,1,1.0,4.8,1,0,89
7687,3,150.0,97.0,0,1,1.0,4.8,1,0,89
7723,3,150.0,97.0,0,1,1.0,4.8,0,0,85
7831,3,150.0,97.0,0,3,1.0,4.8,0,0,89
7836,3,150.0,97.0,0,1,1.0,5.0,0,0,80
7894,3,150.0,97.0,0,2,1.0,4.8,1,0,74
7914,3,50.0,99.0,0,1,1.5,4.44,1,0,86
7966,3,30.0,100.0,0,1,1.0,4.8,0,1,80
7976,3,150.0,97.0,0,2,1.0,4.8,1,0,85
7979,3,50.0,99.0,0,1,1.5,4.49,1,0,86
7982,3,150.0,97.0,0,2,2.0,4.8,1,0,84
7990,3,50.0,99.0,0,1,1.5,4.56,1,0,84
8064,3,150.0,97.0,0,1,1.0,4.74,1,0,85
8077,3,150.0,97.0,0,2,1.0,4.8,1,0,89
8090,3,150.0,97.0,0,1,1.0,4.0,1,0,85
8091,3,150.0,97.0,0,4,1.0,4.75,1,0,85
8092,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8093,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8094,3,150.0,97.0,0,1,1.0,4.75,1,0,85
8095,3,150.0,97.0,0,4,1.0,4.84,1,0,85
8096,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8097,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8098,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8099,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8100,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8101,3,150.0,97.0,0,1,1.0,4.8,1,0,85
8102,3,150.0,97.0,0,1,1.0,4.5,1,0,85
8103,3,150.0,97.0,0,1,1.0,4.83,1,0,85
8104,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8110,3,150.0,97.0,0,1,1.5,5.0,1,0,85
8111,3,150.0,97.0,0,1,1.5,4.88,1,0,85
8112,3,150.0,97.0,0,1,1.5,5.0,1,0,85
8115,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8116,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8117,3,150.0,97.0,0,1,1.0,5.0,1,0,85
8142,3,150.0,97.0,0,1,2.0,4.8,0,0,89
8147,3,50.0,99.0,0,1,1.5,4.31,1,0,86
8155,3,50.0,99.0,0,1,1.5,4.29,1,0,86
8180,3,150.0,97.0,0,1,1.0,4.8,0,0,84
8204,3,50.0,99.0,0,1,1.5,4.47,1,0,86
8243,3,150.0,100.0,0,2,2.0,4.33,1,1,94
8244,3,150.0,100.0,0,2,2.0,5.0,1,1,94
8394,3,150.0,97.0,0,1,1.0,4.8,0,0,82
8452,3,150.0,97.0,0,1,2.0,4.8,1,0,89
8542,3,50.0,97.0,0,2,1.5,4.91,1,1,85
8670,3,150.0,97.0,0,2,2.0,4.78,1,0,80
8689,3,38.0,0.0,0,2,1.0,4.8,1,0,85
8703,3,150.0,97.0,0,2,2.5,4.5,1,0,86
8721,3,150.0,97.0,0,1,3.0,5.0,1,0,89
8780,3,100.0,97.0,0,4,1.0,4.5,1,0,89
8791,3,150.0,97.0,0,1,2.0,4.8,1,0,89
8797,3,150.0,97.0,0,1,2.0,5.0,1,0,89
8823,3,150.0,97.0,0,2,1.0,4.8,1,0,85
8839,3,22.0,0.0,0,5,1.0,4.5,1,0,85
8887,3,40.0,97.0,0,1,1.0,5.0,1,0,85
