,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
158,0,2002.0,99.0,0,4,1.0,4.83,1,1,19
159,0,1011.0,100.0,0,2,2.0,4.74,1,0,9
160,0,1213.0,59.0,0,1,1.0,4.78,1,0,17
162,0,2692.0,97.0,1,3,1.0,4.81,1,0,17
165,0,670.0,93.0,1,1,1.0,5.0,1,0,12
169,0,829.0,91.0,0,2,1.0,4.82,1,0,9
170,0,503.0,100.0,0,2,1.0,4.71,1,0,11
171,0,1200.0,94.0,0,2,1.0,4.74,1,0,17
175,0,3134.0,100.0,1,2,1.0,4.95,1,1,19
176,0,3175.0,83.0,1,4,2.0,4.93,1,1,19
178,0,1114.0,99.0,0,2,1.5,4.81,1,0,12
179,0,2832.0,98.0,1,4,2.0,4.95,1,0,20
181,0,850.0,100.0,0,2,1.0,4.94,1,0,19
183,0,1871.0,100.0,1,4,1.0,4.93,1,1,17
186,0,2516.0,100.0,1,5,1.0,4.9,1,0,19
189,0,780.0,100.0,1,1,1.0,4.93,1,0,9
190,0,1114.0,99.0,0,4,1.0,4.77,1,0,19
192,0,1686.0,96.0,1,8,1.0,4.76,1,0,20
195,0,420.0,100.0,1,1,1.0,4.89,1,0,11
196,0,2710.0,91.0,0,8,2.5,4.97,1,1,9
198,0,2650.0,74.0,0,5,2.0,4.82,1,1,19
200,0,1334.0,100.0,0,3,1.0,4.62,1,0,9
201,0,2299.0,100.0,0,3,1.0,5.0,1,1,20
202,0,891.0,97.0,0,2,1.0,4.81,1,0,9
203,0,1415.0,99.0,0,4,1.0,4.83,1,0,19
204,0,991.0,98.0,0,2,1.0,4.86,1,1,19
206,0,752.0,100.0,1,2,1.0,4.94,1,0,9
211,0,2551.0,100.0,1,4,1.0,4.84,1,0,9
212,0,900.0,100.0,1,3,1.0,4.81,1,1,19
213,0,1557.0,98.0,1,2,1.0,4.88,1,0,19
217,0,1114.0,99.0,0,2,2.0,5.0,1,0,19
218,0,2224.0,98.0,0,4,1.0,4.77,1,0,17
219,0,1460.0,100.0,1,6,2.0,4.78,1,0,9
220,0,1990.0,98.0,0,6,2.0,4.8,1,1,19
222,0,2022.0,97.0,0,2,1.0,4.66,1,1,20
224,0,1114.0,99.0,0,4,1.0,4.67,1,0,20
225,0,807.0,96.0,1,2,1.0,4.79,1,0,6
226,0,1011.0,0.0,0,4,1.0,4.85,1,0,19
227,0,823.0,100.0,0,2,1.0,4.83,1,0,9
229,0,2598.0,100.0,1,8,3.0,4.9,1,1,20
230,0,1656.0,97.0,1,4,2.0,4.82,1,1,19
231,0,1850.0,60.0,0,4,2.0,5.0,1,0,19
232,0,4659.0,100.0,1,7,2.0,4.94,1,0,9
234,0,754.0,91.0,0,2,1.0,4.84,1,0,9
235,0,1099.0,67.0,0,1,1.0,4.0,1,0,19
237,0,64584.0,97.0,0,2,1.0,4.68,1,1,19
238,0,1395.0,97.0,0,2,1.0,4.78,1,1,19
239,0,1650.0,97.0,0,4,2.0,4.59,1,1,19
240,0,1114.0,97.0,0,7,2.0,4.85,1,1,19
241,0,1072.0,99.0,0,2,1.0,5.0,1,0,2
242,0,1430.0,100.0,1,3,1.5,4.97,1,1,19
243,0,1139.0,97.0,0,2,1.0,4.83,1,1,19
244,0,1748.0,97.0,0,5,2.0,4.76,1,1,19
245,0,902.0,99.0,0,2,1.0,4.93,1,0,19
246,0,1080.0,100.0,1,4,1.0,4.93,1,0,19
248,0,1114.0,99.0,0,3,1.0,4.8,1,0,19
249,0,2831.0,62.0,1,2,1.0,4.91,1,0,19
250,0,1190.0,100.0,1,3,1.0,4.97,1,0,19
254,0,2912.0,100.0,0,4,1.0,4.85,1,0,19
255,0,1894.0,98.0,1,4,1.0,4.54,1,1,19
256,0,2580.0,100.0,1,4,2.0,4.94,1,0,9
257,0,1463.0,100.0,1,5,2.0,4.82,1,0,9
259,0,2513.0,98.0,0,5,2.0,4.86,1,1,19
260,0,1114.0,89.0,0,2,2.0,4.33,1,0,9
262,0,990.0,100.0,1,1,1.0,4.94,1,0,9
266,0,1114.0,99.0,0,6,1.0,4.8,1,0,19
267,0,1139.0,97.0,0,1,1.0,4.98,1,1,17
268,0,600.0,100.0,0,2,1.0,4.71,1,0,19
269,0,1897.0,96.0,1,5,1.0,4.79,1,0,20
270,0,1298.0,100.0,0,6,1.0,4.71,1,1,19
271,0,1782.0,97.0,1,2,1.5,4.95,1,0,17
273,0,955.0,100.0,1,2,1.0,4.94,1,1,13
274,0,2570.0,85.0,1,6,2.0,4.88,1,0,19
276,0,1114.0,99.0,0,4,1.0,5.0,1,0,19
277,0,1114.0,76.0,0,16,1.0,4.72,1,0,13
279,0,2460.0,99.0,0,4,2.0,4.64,1,0,9
280,0,1618.0,83.0,0,5,1.5,5.0,1,0,13
281,0,832.0,100.0,1,2,1.0,4.96,1,0,19
282,0,1173.0,95.0,1,2,1.0,4.8,1,0,9
284,0,1699.0,99.0,0,4,2.5,4.93,1,0,17
285,0,1190.0,0.0,0,4,3.0,4.86,1,0,9
288,0,2022.0,0.0,0,3,1.0,5.0,1,0,19
290,0,1114.0,100.0,1,3,1.0,4.92,1,1,13
293,0,1114.0,100.0,1,4,1.5,4.88,1,0,19
294,0,1120.0,97.0,0,2,1.0,4.89,1,1,19
296,0,2744.0,100.0,1,4,1.5,4.96,1,0,17
297,0,936.0,99.0,1,2,1.0,4.9,1,0,17
298,0,650.0,91.0,0,2,1.0,4.7,1,0,9
300,0,2100.0,99.0,0,4,1.0,4.92,1,0,11
302,0,1415.0,99.0,0,4,1.0,4.72,1,0,19
304,0,997.0,100.0,1,2,1.0,4.67,1,0,19
305,0,800.0,0.0,0,3,1.0,4.39,1,0,20
308,0,1700.0,100.0,1,4,1.0,4.98,1,1,9
310,0,1200.0,60.0,0,2,1.0,4.8,1,0,19
311,0,1170.0,93.0,1,2,1.5,4.88,1,0,13
312,0,1596.0,100.0,0,4,2.5,4.84,1,1,19
313,0,1114.0,99.0,0,4,2.5,4.8,1,0,19
314,0,550.0,89.0,1,2,1.0,4.9,1,0,19
315,0,890.0,100.0,1,1,1.0,4.91,1,0,19
316,0,1820.0,91.0,0,4,2.5,4.91,1,0,21
317,0,950.0,100.0,1,4,1.0,4.88,1,1,17
318,0,3692.0,100.0,1,8,2.0,4.9,1,1,17
319,0,950.0,50.0,0,2,1.0,4.87,1,0,9
320,0,3004.0,99.0,0,8,2.0,4.73,1,1,19
324,0,854.0,100.0,1,2,1.0,4.74,1,0,19
327,0,1114.0,95.0,1,3,1.0,4.83,1,0,13
328,0,1719.0,96.0,1,2,1.5,4.78,1,1,19
329,0,6000.0,99.0,0,4,2.0,4.8,1,0,19
333,0,1696.0,99.0,1,4,1.0,4.83,1,1,9
335,0,1114.0,100.0,1,3,1.0,4.96,1,0,17
336,0,1714.0,97.0,0,4,2.0,4.88,1,1,19
337,0,571.0,100.0,1,1,1.0,4.57,1,0,11
339,0,2323.0,100.0,0,7,2.0,4.84,1,1,19
340,0,1114.0,99.0,0,4,2.0,4.8,0,0,19
342,0,647.0,97.0,1,2,1.0,4.9,1,0,19
343,0,2427.0,43.0,0,3,2.0,5.0,1,0,19
345,0,1114.0,100.0,0,2,4.0,4.57,1,1,17
346,0,1743.0,100.0,0,3,1.0,4.91,1,0,19
347,0,964.0,96.0,0,6,1.0,4.65,1,1,19
348,0,1707.0,100.0,1,4,2.0,4.88,1,0,19
349,0,1250.0,75.0,0,4,1.0,4.88,1,0,19
350,0,1415.0,97.0,0,2,1.0,4.92,1,1,19
351,0,1520.0,99.0,0,3,1.5,5.0,1,0,19
352,0,3449.0,96.0,1,6,3.0,4.91,1,0,19
355,0,1207.0,99.0,1,3,1.0,4.89,1,1,19
356,0,1404.0,99.0,1,4,1.0,4.85,1,1,9
357,0,930.0,78.0,1,2,2.0,4.76,1,0,9
359,0,1114.0,97.0,0,2,1.5,4.53,1,0,19
361,0,746.0,100.0,1,2,1.0,4.75,1,1,19
362,0,1557.0,99.0,0,8,2.0,4.87,1,0,7
363,0,1193.0,99.0,1,4,1.0,4.82,1,1,19
365,0,1681.0,100.0,1,3,1.0,4.93,1,0,19
366,0,1577.0,75.0,0,4,2.0,4.92,1,1,9
370,0,919.0,98.0,0,2,1.0,4.84,1,1,17
371,0,1384.0,99.0,0,4,2.0,4.78,1,0,19
372,0,2325.0,99.0,0,4,2.0,4.85,1,0,19
373,0,748.0,100.0,0,2,1.0,4.69,1,0,19
375,0,1112.0,0.0,0,2,1.0,4.8,1,0,19
377,0,1400.0,97.0,0,5,1.0,4.72,1,1,19
378,0,809.0,100.0,1,4,1.0,4.88,1,0,13
379,0,10111.0,100.0,1,2,1.0,4.88,1,0,9
380,0,1509.0,50.0,0,6,3.0,4.83,1,0,9
382,0,2022.0,95.0,1,4,1.0,4.96,1,0,9
384,0,1009.0,96.0,1,2,1.0,4.65,1,0,17
385,0,1605.0,40.0,0,3,1.0,4.78,1,1,17
386,0,2253.0,95.0,1,2,1.0,4.93,1,0,19
387,0,1618.0,93.0,0,2,1.0,4.96,1,0,9
388,0,1676.0,97.0,1,2,1.5,4.96,1,0,17
389,0,1820.0,96.0,0,2,1.0,4.79,1,0,19
390,0,1984.0,100.0,1,2,1.0,4.95,1,0,19
391,0,748.0,91.0,0,2,1.0,4.78,1,0,9
393,0,1860.0,99.0,0,4,2.0,4.97,1,0,19
394,0,737.0,100.0,0,2,1.0,4.74,1,1,17
397,0,1114.0,99.0,0,5,1.5,5.0,1,0,9
398,0,809.0,0.0,0,2,1.0,4.83,1,0,19
402,0,980.0,100.0,0,4,1.0,4.84,1,1,19
404,0,1080.0,97.0,0,2,1.0,4.76,1,1,19
407,0,1447.0,100.0,1,7,2.0,4.87,1,0,9
408,0,1114.0,99.0,0,4,2.0,4.89,1,0,9
417,0,1114.0,76.0,0,10,1.0,4.0,1,0,13
418,0,586.0,0.0,0,3,1.0,4.81,1,0,17
419,0,927.0,99.0,1,2,1.5,4.84,1,1,17
420,0,1114.0,99.0,0,2,1.5,4.97,0,0,17
424,0,1400.0,100.0,0,4,2.0,4.72,1,1,19
426,0,1106.0,95.0,0,2,1.0,4.75,1,0,19
427,0,31386.0,99.0,0,2,2.0,4.92,1,0,19
430,0,1750.0,97.0,1,2,1.0,4.79,1,1,19
431,0,1750.0,97.0,1,2,1.0,4.9,1,1,19
435,0,500.0,99.0,0,2,1.0,4.0,1,0,17
436,0,855.0,100.0,1,2,1.0,4.89,1,0,17
437,0,1114.0,100.0,0,4,1.0,4.74,1,0,17
438,0,3391.0,98.0,1,4,2.0,4.87,1,0,19
440,0,1314.0,98.0,0,6,1.0,4.79,1,1,19
441,0,1017.0,98.0,0,4,1.0,4.79,1,1,17
443,0,1395.0,93.0,1,2,2.0,4.87,1,1,17
444,0,1114.0,99.0,0,16,2.0,4.62,0,0,12
445,0,2357.0,97.0,0,10,1.0,4.5,1,1,19
447,0,1135.0,91.0,1,4,2.0,4.76,1,0,19
449,0,1166.0,98.0,1,4,1.5,4.9,1,0,19
450,0,526.0,14.0,0,1,1.0,4.5,1,0,13
451,0,12000.0,100.0,0,6,5.5,4.64,1,0,21
456,0,1746.0,100.0,0,2,1.0,4.95,1,1,19
457,0,959.0,100.0,0,3,1.0,4.8,1,0,17
459,0,1114.0,100.0,0,2,1.0,4.78,1,0,19
462,0,1618.0,100.0,1,5,2.0,4.92,1,1,19
463,0,1750.0,97.0,1,2,1.0,4.78,1,1,19
466,0,1900.0,50.0,0,4,2.0,5.0,1,0,17
467,0,548.0,93.0,0,4,1.0,4.77,1,0,13
469,0,1239.0,97.0,0,2,1.0,4.89,1,0,19
470,0,829.0,42.0,0,5,1.5,4.78,1,0,9
474,0,1415.0,0.0,0,4,2.0,4.8,1,0,19
476,0,820.0,99.0,0,3,1.0,4.5,1,1,19
477,0,1944.0,69.0,1,4,2.0,4.96,1,0,9
478,0,3000.0,0.0,0,4,2.0,4.75,1,0,19
479,0,1739.0,100.0,1,3,1.0,4.99,1,0,19
480,0,1990.0,96.0,1,8,1.5,4.91,1,0,20
481,0,910.0,100.0,1,2,1.0,4.99,1,0,11
482,0,3500.0,99.0,0,2,1.0,4.77,1,0,9
486,0,1114.0,0.0,0,4,1.0,4.77,1,0,19
488,0,1577.0,11.0,0,2,1.0,4.81,1,0,19
492,0,3429.0,100.0,0,2,1.0,4.52,1,1,17
493,0,1114.0,99.0,0,3,1.0,4.82,1,0,19
494,0,2200.0,40.0,0,2,1.5,4.0,1,0,17
495,0,907.0,100.0,0,2,1.0,4.59,1,1,17
496,0,7215.0,99.0,1,10,5.0,4.9,1,1,19
497,0,4000.0,100.0,0,5,2.5,4.62,1,0,19
499,0,553.0,99.0,0,3,1.0,4.56,1,0,11
500,0,1114.0,99.0,0,2,1.0,4.99,1,0,19
501,0,1250.0,99.0,0,2,1.0,4.73,1,0,19
502,0,382.0,100.0,1,2,1.0,4.85,1,0,17
503,0,1830.0,100.0,0,6,2.5,4.93,1,1,19
505,0,1114.0,100.0,0,4,1.0,4.86,1,0,19
506,0,2086.0,76.0,0,4,2.0,5.0,1,0,23
507,0,1201.0,100.0,1,2,1.0,4.97,1,0,19
511,0,2063.0,100.0,1,4,1.0,4.92,1,0,17
513,0,1748.0,97.0,0,4,2.0,4.72,1,1,19
514,0,1114.0,100.0,0,3,2.0,3.5,1,1,19
515,0,927.0,100.0,0,2,1.0,4.61,1,1,17
516,0,607.0,100.0,1,2,1.0,4.84,1,0,11
517,0,1400.0,100.0,1,4,1.0,4.93,1,0,9
518,0,1994.0,0.0,0,2,1.0,4.96,1,0,21
519,0,2588.0,0.0,0,4,1.0,4.8,1,0,19
520,0,954.0,99.0,0,4,1.0,4.84,1,0,19
521,0,5055.0,99.0,0,4,2.5,4.96,1,0,9
522,0,295.0,93.0,0,2,1.0,4.76,1,1,17
523,0,1243.0,97.0,0,2,1.0,4.67,1,1,19
524,0,864.0,98.0,1,2,1.0,4.89,1,1,9
525,0,527.0,100.0,0,2,1.0,4.94,1,0,11
526,0,2000.0,0.0,0,10,2.5,4.9,1,0,13
532,0,3328.0,92.0,1,3,1.0,4.5,1,1,17
535,0,1114.0,99.0,0,2,1.0,4.91,1,0,19
536,0,1679.0,88.0,1,4,1.0,4.88,1,0,19
537,0,1092.0,96.0,0,2,1.0,4.95,1,0,17
543,0,1150.0,50.0,0,3,1.5,4.57,1,0,19
546,0,1415.0,56.0,1,2,1.0,4.8,1,0,19
547,0,1224.0,97.0,1,5,1.0,4.92,1,0,17
548,0,1730.0,100.0,1,4,2.0,4.98,1,0,19
554,0,3640.0,100.0,1,4,2.0,4.94,1,0,9
555,0,1700.0,99.0,0,6,2.0,4.86,1,0,19
556,0,4558.0,99.0,1,4,2.0,5.0,1,1,19
560,0,2149.0,99.0,1,8,2.0,4.74,1,1,17
561,0,1114.0,100.0,1,3,2.0,4.65,1,0,19
562,0,1114.0,90.0,1,2,2.0,4.9,1,0,19
563,0,1336.0,100.0,0,5,1.0,4.81,1,0,19
564,0,850.0,99.0,0,4,1.0,4.78,1,0,17
565,0,1200.0,100.0,0,4,1.0,4.94,1,0,9
566,0,2149.0,93.0,1,4,2.0,4.9,1,0,19
567,0,950.0,100.0,0,4,2.0,5.0,1,1,19
568,0,13144.0,75.0,0,8,4.5,4.86,1,0,9
569,0,1200.0,92.0,0,2,1.0,4.88,1,0,9
570,0,890.0,100.0,0,2,1.0,4.78,1,1,17
571,0,1114.0,92.0,0,5,1.0,4.83,1,0,19
572,0,1114.0,99.0,0,4,1.0,4.8,0,0,19
573,0,1514.0,99.0,1,4,1.0,4.91,1,0,19
575,0,1200.0,92.0,0,2,1.0,4.9,1,0,19
576,0,1114.0,82.0,0,4,1.0,4.96,1,0,19
577,0,2629.0,100.0,0,4,2.5,4.58,1,0,9
581,0,1979.0,44.0,0,4,2.0,4.4,1,0,19
585,0,1114.0,99.0,0,3,1.5,4.8,0,0,19
586,0,1072.0,100.0,0,2,1.0,4.74,1,0,17
587,0,1114.0,100.0,0,2,1.0,4.83,1,0,17
588,0,1083.0,100.0,0,2,1.0,4.65,1,0,17
589,0,1264.0,100.0,1,3,1.0,4.97,1,0,9
590,0,1114.0,99.0,0,7,1.0,4.8,0,0,13
591,0,1114.0,99.0,0,3,1.0,4.8,1,0,19
592,0,1750.0,97.0,1,2,1.0,4.72,1,1,19
593,0,1112.0,97.0,1,5,2.0,4.86,1,0,19
594,0,1415.0,88.0,1,4,1.0,4.88,1,0,19
595,0,1500.0,57.0,0,4,1.5,4.8,1,0,19
596,0,990.0,100.0,1,2,1.0,4.94,1,1,17
598,0,1886.0,96.0,1,3,1.0,5.0,1,0,9
599,0,1132.0,100.0,1,4,1.0,4.94,1,0,9
600,0,1250.0,95.0,0,2,1.0,4.82,1,0,20
601,0,1500.0,93.0,1,2,2.0,4.84,1,0,19
604,0,1316.0,97.0,0,2,1.0,4.87,1,1,19
605,0,2406.0,99.0,0,2,3.0,4.99,1,0,19
606,0,1294.0,100.0,1,2,1.0,4.89,1,1,17
608,0,2831.0,92.0,1,4,2.0,4.96,1,0,19
610,0,1114.0,33.0,0,4,2.0,4.87,1,0,19
612,0,760.0,100.0,1,4,1.0,4.83,1,0,19
613,0,1406.0,96.0,1,2,1.0,4.96,1,0,9
614,0,1517.0,0.0,0,5,2.0,4.93,1,0,9
615,0,1300.0,100.0,1,4,2.0,4.9,1,0,19
618,0,1114.0,76.0,0,14,1.0,2.0,1,0,13
621,0,3492.0,76.0,0,16,5.0,4.5,1,0,13
622,0,1114.0,76.0,0,12,5.0,4.8,1,0,13
623,0,1704.0,76.0,0,10,3.0,4.8,1,0,13
624,0,2629.0,97.0,0,4,2.0,4.83,1,0,9
625,0,820.0,100.0,1,3,1.0,4.9,1,0,9
627,0,1750.0,97.0,1,2,1.0,4.76,1,0,19
628,0,1694.0,97.0,0,4,2.0,4.85,1,1,19
631,0,2550.0,76.0,0,14,2.0,4.42,1,0,13
632,0,2065.0,76.0,0,10,3.0,5.0,1,0,13
633,0,1114.0,76.0,0,6,3.0,4.0,1,0,13
634,0,5041.0,76.0,0,14,2.0,4.64,1,0,13
635,0,4194.0,76.0,0,16,4.0,4.8,1,0,13
636,0,1057.0,76.0,0,4,1.0,5.0,1,0,13
637,0,2508.0,76.0,0,6,2.0,4.89,1,0,13
638,0,1114.0,99.0,0,4,2.0,4.88,0,0,19
640,0,1114.0,100.0,1,4,1.5,4.76,1,0,19
648,0,1395.0,98.0,1,3,1.0,4.85,1,0,13
649,0,1405.0,100.0,0,5,2.0,4.7,1,1,19
651,0,2000.0,99.0,0,4,2.0,4.65,1,0,9
652,0,6231.0,98.0,1,6,2.0,4.96,1,0,19
653,0,968.0,100.0,0,2,1.0,4.85,1,0,17
655,0,948.0,100.0,1,3,1.0,4.83,1,1,17
658,0,1114.0,99.0,0,2,1.0,4.8,0,0,19
659,0,4717.0,99.0,1,8,2.5,4.9,1,1,19
661,0,1528.0,95.0,0,4,2.0,4.82,1,1,19
662,0,700.0,95.0,0,6,1.0,4.2,1,0,19
663,0,1200.0,92.0,0,2,1.0,4.94,1,0,19
665,0,1114.0,99.0,0,2,1.0,4.8,1,0,19
668,0,1050.0,100.0,0,4,1.0,4.87,1,1,19
669,0,1114.0,100.0,1,2,1.0,4.71,1,0,9
671,0,1114.0,99.0,0,4,2.5,4.67,1,0,19
