,room_type,price,host_acceptance_rate,host_is_superhost,accommodates,bathrooms,review_scores_cleanliness,host_identity_verified,instant_bookable,property_type
26608,1,150.0,87.0,0,2,2.0,4.8,1,1,73
26609,1,150.0,87.0,0,2,2.0,4.8,1,1,73
26646,1,150.0,87.0,0,2,2.0,5.0,1,1,73
26647,1,150.0,87.0,0,2,2.0,4.8,1,1,73
26925,1,150.0,97.0,0,8,1.0,3.0,1,1,72
27256,1,239.0,87.0,0,2,1.0,3.0,1,1,72
27257,1,199.0,87.0,0,4,1.0,4.8,1,1,72
27258,1,199.0,87.0,0,4,1.0,4.5,1,1,72
27259,1,150.0,87.0,0,2,1.0,4.8,1,1,72
27306,1,150.0,87.0,0,2,1.0,4.8,1,1,72
27307,1,150.0,87.0,0,2,1.0,4.8,1,1,72
27308,1,249.0,87.0,0,4,1.0,4.8,1,1,72
27639,1,150.0,87.0,0,4,1.0,4.8,1,1,72
27741,1,150.0,87.0,0,16,1.0,4.8,1,1,72
27742,1,150.0,87.0,0,16,1.0,4.8,1,1,72
27743,1,150.0,87.0,0,12,1.0,4.0,1,1,72
27744,1,150.0,87.0,0,12,1.0,4.8,1,1,72
27745,1,150.0,87.0,0,12,1.0,4.8,1,1,72
27746,1,150.0,87.0,0,8,1.0,5.0,1,1,72
27747,1,150.0,87.0,0,8,1.0,4.8,1,1,72
27748,1,150.0,87.0,0,8,1.0,4.8,1,1,72
27760,1,999.0,98.0,0,4,1.0,4.54,1,1,72
27874,1,150.0,98.0,0,2,2.0,4.0,1,1,72
27875,1,150.0,98.0,0,2,2.0,4.83,1,1,72
28663,1,150.0,98.0,0,2,1.0,4.69,1,1,72
29012,1,250.0,97.0,0,2,1.0,4.75,0,1,72
29022,1,250.0,97.0,0,2,1.0,4.5,0,1,72
29026,1,250.0,97.0,0,2,1.0,5.0,0,1,72
29083,1,350.0,97.0,0,3,1.0,4.0,0,1,72
29084,1,150.0,97.0,0,3,1.0,5.0,0,1,72
29085,1,280.0,97.0,0,3,1.0,4.8,0,1,72
29086,1,150.0,97.0,0,4,1.0,4.8,0,1,72
29097,1,150.0,97.0,0,4,2.0,4.8,0,1,72
29098,1,150.0,97.0,0,4,2.0,4.8,0,1,72
29582,1,999.0,98.0,0,6,1.0,4.8,1,1,72
29583,1,999.0,98.0,0,12,2.0,4.8,1,1,72
29584,1,1265.0,98.0,0,16,3.0,4.8,1,1,72
29746,1,150.0,97.0,0,16,1.0,4.8,0,1,72
29856,1,110.0,97.0,0,2,1.0,4.8,0,1,72
29857,1,115.0,97.0,0,4,1.0,4.5,0,1,72
29858,1,150.0,97.0,0,8,1.0,4.0,0,1,72
29859,1,150.0,97.0,0,12,1.0,4.8,0,1,72
30207,1,150.0,97.0,0,4,1.0,4.8,1,1,72
30209,1,150.0,97.0,0,4,3.0,4.8,1,1,72
30210,1,150.0,97.0,0,2,3.0,4.8,1,1,72
30376,1,318.0,87.0,0,2,1.0,5.0,1,1,72
30377,1,150.0,87.0,0,8,1.0,4.5,1,1,72
30379,1,150.0,87.0,0,4,0.5,5.0,1,1,72
30380,1,150.0,87.0,0,4,0.5,4.8,1,1,72
30381,1,150.0,87.0,0,2,0.5,4.8,1,1,72
30382,1,150.0,87.0,0,4,0.5,4.8,1,1,72
30387,1,150.0,87.0,0,2,1.0,4.8,1,1,72
30389,1,331.0,87.0,0,2,1.0,4.75,1,1,72
30390,1,150.0,87.0,0,2,1.0,4.8,1,1,72
30391,1,150.0,87.0,0,8,1.0,4.8,1,1,72
30392,1,150.0,87.0,0,8,1.0,4.8,1,1,72
30393,1,150.0,87.0,0,12,1.0,4.8,1,1,72
30398,1,150.0,87.0,0,12,1.0,4.8,1,1,72
30399,1,150.0,87.0,0,12,1.0,4.8,1,1,72
30400,1,150.0,87.0,0,16,1.0,4.8,1,1,72
30401,1,150.0,87.0,0,16,1.0,4.8,1,1,72
30403,1,150.0,87.0,0,16,3.0,4.8,1,1,72
30439,1,150.0,98.0,0,5,2.0,4.33,1,1,72
30440,1,150.0,98.0,0,10,2.0,4.8,1,1,72
30441,1,150.0,98.0,0,15,2.0,4.0,1,1,72
30465,1,150.0,96.0,0,8,1.0,1.0,1,1,72
30488,1,150.0,98.0,0,16,2.0,4.8,1,1,72
30613,1,150.0,98.0,0,4,1.0,4.62,1,1,72
30614,1,150.0,98.0,0,3,1.0,5.0,1,1,72
30615,1,150.0,98.0,0,5,1.0,4.6,1,1,72
30616,1,150.0,98.0,0,10,1.0,5.0,1,1,72
30627,1,150.0,98.0,0,15,2.0,4.8,1,1,72
30754,1,150.0,98.0,0,12,1.0,5.0,1,1,72
30755,1,150.0,98.0,0,8,1.0,5.0,1,1,72
30756,1,150.0,98.0,0,5,1.0,3.0,1,1,72
30757,1,150.0,98.0,0,3,1.0,4.8,1,1,72
30759,1,150.0,98.0,0,4,1.0,5.0,1,1,72
30770,1,150.0,98.0,0,4,3.0,5.0,1,1,72
30771,1,150.0,98.0,0,2,3.0,5.0,1,1,72
30920,1,145.0,96.0,0,4,1.0,4.68,1,1,72
30970,1,150.0,98.0,0,2,1.0,4.8,1,1,72
30980,1,150.0,98.0,0,2,1.0,1.0,1,1,72
30981,1,150.0,98.0,0,4,1.0,5.0,1,1,72
30982,1,150.0,98.0,0,2,1.0,4.8,1,1,72
30985,1,150.0,98.0,0,2,1.0,4.8,1,1,72
30993,1,150.0,98.0,0,4,2.0,5.0,1,1,72
30994,1,150.0,98.0,0,4,2.0,5.0,1,1,72
30995,1,150.0,98.0,0,4,2.0,5.0,1,1,72
30997,1,150.0,98.0,0,8,1.0,4.67,1,1,72
31005,1,150.0,98.0,0,12,1.0,4.0,1,1,72
31007,1,150.0,98.0,0,16,2.0,5.0,1,1,72
32609,1,150.0,98.0,0,8,2.5,4.8,1,1,72
32765,1,150.0,98.0,0,2,2.0,4.8,1,1,72
32850,1,150.0,98.0,0,2,0.0,4.8,1,1,72
32859,1,150.0,98.0,0,12,2.5,4.8,1,1,72
32861,1,150.0,98.0,0,16,1.0,4.8,1,1,72
32872,1,150.0,98.0,0,2,1.0,5.0,1,1,72
33301,1,150.0,87.0,0,2,2.0,4.8,1,1,72
33302,1,191.0,87.0,0,2,1.0,4.8,1,1,72
33308,1,150.0,87.0,0,4,1.0,4.8,1,1,72
33309,1,223.0,87.0,0,2,1.0,4.8,1,1,72
33310,1,255.0,87.0,0,2,1.0,4.8,1,1,72
33396,1,150.0,87.0,0,8,6.5,4.8,1,1,72
33434,1,150.0,87.0,0,4,1.0,4.0,1,1,72
33439,1,150.0,87.0,0,4,5.5,4.8,1,1,72
33440,1,318.0,87.0,0,2,1.0,4.8,1,1,72
33474,1,150.0,87.0,0,4,3.0,4.8,1,1,72
33475,1,300.0,87.0,0,2,1.0,4.8,1,1,72
33481,1,331.0,87.0,0,2,1.0,5.0,1,1,72
33482,1,318.0,87.0,0,2,1.0,5.0,1,1,72
33484,1,150.0,87.0,0,2,2.0,4.8,1,1,72
33486,1,150.0,87.0,0,16,5.5,4.8,1,1,72
33654,1,410.0,87.0,0,4,1.0,4.8,1,1,72
33655,1,450.0,87.0,0,3,1.0,4.5,1,1,72
33656,1,520.0,87.0,0,3,1.0,4.8,1,1,72
33657,1,370.0,87.0,0,2,1.0,5.0,1,1,72
